case_id,direction,period,partner_name,partner_code,hs6,commodity_name,expected_valuation_pattern,vn_status_code,vn_count,vn_value_usd,mirror_status_code,mirror_count,mirror_value_usd,value_diff_mirror_minus_vn_usd,abs_value_diff_usd,pct_diff_vs_vn,pct_diff_vs_max,vn_net_wgt,mirror_net_wgt,pct_net_wgt_diff_vs_vn,discrepancy_level,analysis_note,vn_raw_file_path,mirror_raw_file_path,vn_url,mirror_url,tested_at
EXP_JPN_COFFEE_202301,EXPORT,202301,Japan,392,090111,Coffee; not roasted or decaffeinated,VN export FOB vs partner import CIF,200,1,10127757.599,200,1,16784397.261,6656639.6620000005,6656639.6620000005,65.72668823212423,39.65968845045916,5024600.0,7795852.0,55.15368387533336,HIGH,"Mirror cao hơn VN-reported. EXPORT: VN thường ghi FOB, đối tác nhập khẩu thường ghi CIF; mirror cao hơn có thể là bình thường. Mức chênh lệch: HIGH.",data\raw\week1_mirror_check\exp_jpn_coffee_202301_vn_reported_export.json,data\raw\week1_mirror_check\exp_jpn_coffee_202301_partner_mirror_import.json,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=090111&flowCode=X&reporterCode=704&period=202301&partnerCode=392&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=090111&flowCode=M&reporterCode=392&period=202301&partnerCode=704&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,2026-09-18T13:14:52+00:00
EXP_JPN_COFFEE_202401,EXPORT,202401,Japan,392,090111,Coffee; not roasted or decaffeinated,VN export FOB vs partner import CIF,200,0,,200,1,35660719.503,,,,,,13296000.0,,MISSING_VN_REPORTED,"Việt Nam báo cáo thiếu dữ liệu, nhưng partner mirror có dữ liệu; đây là case quan trọng cho cơ chế mirror.",data\raw\week1_mirror_check\exp_jpn_coffee_202401_vn_reported_export.json,data\raw\week1_mirror_check\exp_jpn_coffee_202401_partner_mirror_import.json,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=090111&flowCode=X&reporterCode=704&period=202401&partnerCode=392&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=090111&flowCode=M&reporterCode=392&period=202401&partnerCode=704&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,2026-09-18T13:14:57+00:00
EXP_USA_COFFEE_202301,EXPORT,202301,United States,842,090111,Coffee; not roasted or decaffeinated,VN export FOB vs partner import CIF,200,1,20201618.072,200,1,37790801.0,17589182.928,17589182.928,87.06818862385629,46.543556798385936,10292805.0,16332852.0,58.68222510773302,HIGH,"Mirror cao hơn VN-reported. EXPORT: VN thường ghi FOB, đối tác nhập khẩu thường ghi CIF; mirror cao hơn có thể là bình thường. Mức chênh lệch: HIGH.",data\raw\week1_mirror_check\exp_usa_coffee_202301_vn_reported_export.json,data\raw\week1_mirror_check\exp_usa_coffee_202301_partner_mirror_import.json,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=090111&flowCode=X&reporterCode=704&period=202301&partnerCode=842&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=090111&flowCode=M&reporterCode=842&period=202301&partnerCode=704&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,2026-09-18T13:15:03+00:00
EXP_DEU_COFFEE_202301,EXPORT,202301,Germany,276,090111,Coffee; not roasted or decaffeinated,VN export FOB vs partner import CIF,200,1,41199796.464,200,1,38271554.955,-2928241.5090000033,2928241.5090000033,7.107417415420179,7.107417415420179,21257270.0,18008084.315,15.285056288977836,LOW,"Mirror thấp hơn VN-reported. EXPORT: VN thường ghi FOB, đối tác nhập khẩu thường ghi CIF; mirror cao hơn có thể là bình thường. Mức chênh lệch: LOW.",data\raw\week1_mirror_check\exp_deu_coffee_202301_vn_reported_export.json,data\raw\week1_mirror_check\exp_deu_coffee_202301_partner_mirror_import.json,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=090111&flowCode=X&reporterCode=704&period=202301&partnerCode=276&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=090111&flowCode=M&reporterCode=276&period=202301&partnerCode=704&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,2026-09-18T13:15:08+00:00
IMP_CHN_NETWORK_EQUIP_202301,IMPORT,202301,China,156,851762,"Machines for reception, conversion and transmission/regeneration of data",VN import CIF vs partner export FOB,200,1,29869079.442,200,1,29945226.0,76146.55799999833,76146.55799999833,0.254934398456639,0.25428613562642116,81253.637,299000.0,267.98352792503306,LOW,"Mirror cao hơn VN-reported. IMPORT: VN nhập khẩu thường ghi CIF, đối tác xuất khẩu thường ghi FOB; mirror thấp hơn có thể là bình thường. Mức chênh lệch: LOW.",data\raw\week1_mirror_check\imp_chn_network_equip_202301_vn_reported_import.json,data\raw\week1_mirror_check\imp_chn_network_equip_202301_partner_mirror_export.json,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=851762&flowCode=M&reporterCode=704&period=202301&partnerCode=156&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=851762&flowCode=X&reporterCode=156&period=202301&partnerCode=704&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,2026-09-18T13:15:13+00:00
IMP_KOR_INTEGRATED_CIRCUITS_202301,IMPORT,202301,Rep. of Korea,410,854231,Electronic integrated circuits; processors and controllers,VN import CIF vs partner export FOB,200,1,252083766.166,200,1,217401413.0,-34682353.16600001,34682353.16600001,13.758265235993534,13.758265235993534,,37670.6,,MODERATE,"Mirror thấp hơn VN-reported. IMPORT: VN nhập khẩu thường ghi CIF, đối tác xuất khẩu thường ghi FOB; mirror thấp hơn có thể là bình thường. Mức chênh lệch: MODERATE.",data\raw\week1_mirror_check\imp_kor_integrated_circuits_202301_vn_reported_import.json,data\raw\week1_mirror_check\imp_kor_integrated_circuits_202301_partner_mirror_export.json,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=854231&flowCode=M&reporterCode=704&period=202301&partnerCode=410&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=854231&flowCode=X&reporterCode=410&period=202301&partnerCode=704&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,2026-09-18T13:15:18+00:00
IMP_CHN_NETWORK_EQUIP_202401,IMPORT,202401,China,156,851762,"Machines for reception, conversion and transmission/regeneration of data",VN import CIF vs partner export FOB,200,0,,200,1,62727085.0,,,,,,417230.0,,MISSING_VN_REPORTED,"Việt Nam báo cáo thiếu dữ liệu, nhưng partner mirror có dữ liệu; đây là case quan trọng cho cơ chế mirror.",data\raw\week1_mirror_check\imp_chn_network_equip_202401_vn_reported_import.json,data\raw\week1_mirror_check\imp_chn_network_equip_202401_partner_mirror_export.json,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=851762&flowCode=M&reporterCode=704&period=202401&partnerCode=156&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=851762&flowCode=X&reporterCode=156&period=202401&partnerCode=704&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,2026-09-18T13:15:23+00:00
IMP_KOR_INTEGRATED_CIRCUITS_202401,IMPORT,202401,Rep. of Korea,410,854231,Electronic integrated circuits; processors and controllers,VN import CIF vs partner export FOB,200,0,,200,1,412589570.0,,,,,,56830.1,,MISSING_VN_REPORTED,"Việt Nam báo cáo thiếu dữ liệu, nhưng partner mirror có dữ liệu; đây là case quan trọng cho cơ chế mirror.",data\raw\week1_mirror_check\imp_kor_integrated_circuits_202401_vn_reported_import.json,data\raw\week1_mirror_check\imp_kor_integrated_circuits_202401_partner_mirror_export.json,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=854231&flowCode=M&reporterCode=704&period=202401&partnerCode=410&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,https://comtradeapi.un.org/public/v1/preview/C/M/HS?cmdCode=854231&flowCode=X&reporterCode=410&period=202401&partnerCode=704&motCode=0&customsCode=C00&partner2Code=0&includeDesc=true&maxrecords=50,2026-09-18T13:15:28+00:00
